City,State,Total Sales,Latitude,Longitude
bonito,MS,776,-21.126501239740282,-56.487386919390666
tiangua,CE,774,-3.7257330463271967,-40.99162685596346
campanha,MG,774,-21.834693310992467,-45.40185565708099
santa teresa,ES,770,-19.947518001748605,-40.6102537638142
taruma,SP,770,-22.74911987899773,-50.579028631852154
camaragibe,PE,769,-8.015295457953696,-34.987615604123405
mata de sao joao,BA,768,-12.52863518194975,-38.281451432422486
maraba,PA,767,-5.370401269076096,-49.122661339876004
tabapua,SP,767,-20.963197128320044,-49.03239991119524
anchieta,ES,765,-20.798623626839632,-40.64575177911742
getulio vargas,RS,760,-27.88688161296589,-52.22847604820226
arapoti,PR,760,-24.142431532278877,-49.823301265983375
buri,SP,760,-23.799153907667765,-48.600129248165764
ribeira do pombal,BA,760,-10.858286952142006,-38.537203718535345
passa quatro,MG,747,-22.386998071327625,-44.96755857701786
muzambinho,MG,747,-21.369072054810818,-46.52342354120347
turmalina,MG,747,-17.304257593388193,-42.72513736445924
sao joao,PR,744,-25.825982062240243,-52.72864172948357
astolfo dutra,MG,742,-21.31423934059127,-42.864370709681815
macaubas,BA,741,-13.020256822422605,-42.6925562310593
raul soares,MG,741,-20.093926334935965,-42.43928530281281
sao simao,SP,740,-21.474559335435423,-47.56210667141716
mossoro,RN,739,-5.193516571247067,-37.343313422782316
crateus,CE,738,-5.1786803560323245,-40.667794237052355
colider,MT,730,-10.80411721616794,-55.457814273085205
codo,MA,730,-4.460262737939082,-43.89056332516309
luis antonio,SP,729,-21.5542844649286,-47.701899895443006
porto belo,SC,729,-27.156918925167137,-48.56761529461857
triunfo,RS,728,-29.933020760177637,-51.70959659677941
ubirata,PR,721,-24.542287152209926,-52.98950976455307
itapoa,SC,720,-26.07925097556868,-48.60997110560371
imbituva,PR,720,-25.22980960350924,-50.60436091054254
resplendor,MG,720,-19.32409968478003,-41.24816420851754
brejo santo,CE,720,-7.48934891046257,-38.983970971331686
bicas,MG,712,-21.71920720413796,-43.065615239378594
parapua,SP,711,-21.78158333400454,-50.79147971608056
campina verde,MG,710,-19.5353499185091,-49.491609471250435
montanha,ES,708,-18.13083571336526,-40.357554283830645
iguatu,CE,708,-6.360471718613438,-39.29419685632688
angatuba,SP,704,-23.49581259911291,-48.406460822148546
colorado,PR,700,-22.8374989575613,-51.97323788311084
correia pinto,SC,696,-27.584855462162366,-50.36487261734861
ipiau,BA,696,-14.134454235265373,-39.73652999854246
ivaipora,PR,696,-24.246736224785945,-51.670656383562566
borborema,SP,696,-21.620537763726293,-49.074897522354064
joao neiva,ES,693,-19.751471505924567,-40.38713163072452
sao raimundo nonato,PI,693,-9.014405628812405,-42.69112898332938
dores do indaia,MG,693,-19.46651813416311,-45.60031301345413
viana,ES,686,-20.355880762732294,-40.43321286960507
nova mutum,MT,685,-13.815107389542428,-56.08422505145905
presidente dutra,MA,684,-5.2916671841311596,-44.49179911811847
itapiranga,SC,682,-27.171631149537667,-53.71517902085654
girua,RS,682,-28.02984432217421,-54.34907697321993
miracatu,SP,680,-24.278207560477895,-47.448889394365
cruzeiro do oeste,PR,680,-23.804841608515627,-53.02511550877522
juara,MT,672,-11.233738753302001,-57.51830401101639
cananeia,SP,672,-25.009307340430148,-47.93194535048923
engenheiro coelho,SP,672,-22.488836738837342,-47.20945249793252
mar de espanha,MG,670,-21.86580148431451,-43.00875049357078
siqueira campos,PR,670,-23.67979271299178,-49.82049608438112
urussanga,SC,670,-28.523253780672906,-49.31878117615276
piumhi,MG,669,-20.46954989821903,-45.96099284289125
arapiraca,AL,668,-9.751289319071114,-36.65723653523877
espumoso,RS,666,-28.731195615766296,-52.8439904773919
sao jeronimo,RS,666,-29.963007709725904,-51.72023227845977
sao goncalo do sapucai,MG,664,-21.845777325458005,-45.566390539758984
pinheiros,ES,664,-18.41060336077438,-40.21987423270627
pirapetinga,MG,664,-21.661540064839187,-42.349314965335175
ampere,PR,664,-25.919095581250634,-53.47400197539543
rio paranaiba,MG,661,-19.19962218152478,-46.24999131316029
canarana,MT,660,-13.547296108046245,-52.270711282080306
tres cachoeiras,RS,660,-29.45339253317276,-49.921879645426806
pimenta bueno,RO,658,-11.679744762426807,-61.17850479545323
nova londrina,PR,657,-22.76365934195122,-52.988230172455864
camocim,CE,657,-2.9030356681270706,-40.84688864835992
ouroeste,SP,650,-20.00138183177716,-50.37530967221639
piracanjuba,GO,650,-17.303261316453252,-49.02591416605261
boa esperanca do sul,SP,649,-21.994073588322774,-48.38922269772673
tucurui,PA,649,-3.7900515148716476,-49.674283664031385
faxinal,PR,648,-23.99841324450452,-51.323422957631145
sao cristovao,SE,648,-10.95955576545714,-37.15045190045039
alpinopolis,MG,644,-20.859760646363316,-46.3869519783823
mimoso do sul,ES,639,-21.061437567098338,-41.36299402565532
goitacazes,RJ,638,-21.96297262952675,-41.538842437304076
ipaussu,SP,632,-23.055168941127352,-49.62701112282013
sao jose da lapa,MG,632,-19.708167070999338,-43.97469196200729
poco fundo,MG,630,-21.780233294715067,-45.967509554350286
pesqueira,PE,630,-8.361198976690273,-36.69778368815529
acailandia,MA,624,-4.947461226931624,-47.48784233337307
sao sepe,RS,624,-30.164712692037458,-53.570284610348594
maracanau,CE,621,-3.8703183811119466,-38.61201431991154
paragominas,PA,620,-2.9946268130650444,-47.35555602221627
palmares,PE,616,-8.68019428917731,-35.58901234652733
penedo,AL,616,-10.285979873218078,-36.56737980873675
porecatu,PR,612,-22.752277722425482,-51.37958080011673
pojuca,BA,612,-12.42605608644293,-38.32759518884581
monte santo de minas,MG,612,-20.995354009501813,-46.79724809279944
trindade,GO,609,-16.652438435771813,-49.479734389455245
santo augusto,RS,603,-27.853035284040132,-53.77805302078627
pirai do sul,PR,602,-24.533219484060293,-49.939520289160505
jaragua,GO,602,-15.750810157919616,-49.32982346532594
perdizes,MG,600,-19.361895231503148,-47.28444658165654
astorga,PR,595,-23.236589227866887,-51.667931496074054
papanduva,SC,594,-26.404048274260113,-50.14706588516494
papucaia,RJ,594,-22.602768923472013,-42.76441651372382
rolante,RS,594,-29.648842219490707,-50.571851286829094
sao felix do xingu,PA,594,-6.655099810856345,-51.97994591399955
guapiacu,SP,594,-20.794801680047375,-49.22450484124209
sapezal,MT,592,-13.543842043478824,-58.81099553982648
conceicao do araguaia,PA,588,-8.263631958491526,-49.272878880588316
ibatiba,ES,585,-20.2344775404444,-41.5078268504932
piratininga,SP,585,-22.41462876313653,-49.139637829612404
sao bento do sapucai,SP,584,-22.68993817742046,-45.723372624655546
itabera,SP,584,-23.865546450638586,-49.14108905508821
itambacuri,MG,584,-18.038445080462022,-41.68327317684285
palestina,SP,580,-20.389520542957865,-49.434655405503705
cabo de santo agostinho,PE,580,-8.273660108288977,-35.013366964307856
belo oriente,MG,580,-19.236113088197445,-42.47886282935283
arinos,MG,576,-15.922557953732245,-46.10810020710096
areal,RJ,576,-22.239325889868486,-43.101162009975866
juatuba,MG,570,-19.959620864836914,-44.33795433830537
coroata,MA,570,-4.130050796980661,-44.12640893298468
santa juliana,MG,567,-19.31363224920638,-47.52910682319233
paraibuna,SP,561,-23.39343735407113,-45.66050162676349
itaobim,MG,560,-16.560231919279538,-41.50315981107347
rio pomba,MG,558,-21.271567925586538,-43.17892242686631
cabreuva,SP,558,-23.274797441063946,-47.087194087137846
serra talhada,PE,554,-7.989319061891956,-38.2917404603703
currais novos,RN,553,-6.2592801900803785,-36.5189464001006
encruzilhada do sul,RS,552,-30.54484818344197,-52.524429541047205
icem,SP,550,-20.340620456764224,-49.19857517926917
pinhao,PR,549,-25.696372948877862,-51.6568094962947
medina,MG,546,-16.22740148497849,-41.478365987255316
tres coroas,RS,545,-29.510740204930105,-50.78142741205358
dourado,SP,540,-22.111747971103078,-48.31450968103754
ceres,GO,540,-15.30702381539223,-49.60597240269831
aguas formosas,MG,540,-17.082138960115696,-40.93936513150781
ervalia,MG,539,-20.84043623612542,-42.65535202352822
itaiopolis,SC,539,-26.34428839057246,-49.90819542173568
aguas da prata,SP,539,-21.939612687255995,-46.71528319002977
rolim de moura,RO,539,-11.722181378824585,-61.77747622817215
bady bassitt,SP,539,-20.91720180821495,-49.45101711286971
terra rica,PR,539,-22.724726781537534,-52.623132914475306
alvinopolis,MG,533,-20.10884745082166,-43.061527947569346
novo cruzeiro,MG,531,-17.46103016226294,-41.88355404660501
mangueirinha,PR,531,-25.940246009625948,-52.1766430132493
piquete,SP,531,-22.60890139149856,-45.1832986389328
schroeder,SC,531,-26.405474710661444,-49.075099778002354
balsamo,SP,531,-20.737222706375025,-49.5822444740339
soledade,RS,530,-28.827466999674538,-52.50918209337255
lagoa formosa,MG,528,-18.776048721480215,-46.40376005256034
aparecida do taboado,MS,528,-20.07905804726262,-51.10834295355123
porto real,RJ,528,-22.428404019640865,-44.3063806717858
campos belos,GO,525,-13.037238709521697,-46.76974240764585
canaa dos carajas,PA,522,-6.529615937809024,-49.85743159680344
comodoro,MT,520,-13.658898446615215,-59.784899877562516
mirai,MG,520,-21.192952907498096,-42.614524308688644
santa branca,SP,520,-23.399446197217422,-45.8854157755928
antonio prado,RS,518,-28.85568276273155,-51.28221094461962
goianesia,GO,518,-15.319758388042297,-49.13641593083675
piripiri,PI,518,-4.276294390775066,-41.777891008349634
querencia,MT,517,-12.592037797449674,-52.2196510260992
redencao,PA,515,-8.034707786658819,-50.03331559696752
rio acima,MG,513,-20.089133156008554,-43.788985767629434
arroio dos ratos,RS,513,-30.090092677814035,-51.73159434668712
crixas,GO,513,-14.540484082452839,-49.969410637186456
orleans,SC,512,-28.358018902390246,-49.28832810730867
petrolandia,PE,512,-8.97867635898809,-38.220985401088576
silva jardim,RJ,505,-22.642777079533314,-42.40956867353195
ipaba,MG,504,-19.41633461844168,-42.40966662866407
dores de campos,MG,504,-21.109888276064485,-44.02314172990817
jacupiranga,SP,500,-24.701660201999708,-48.00488636368219
baependi,MG,500,-21.9608403710798,-44.88799124145116
guaranta do norte,MT,500,-9.95034630564048,-54.90593207368735
canavieiras,BA,498,-15.6736749835914,-38.949596080034134
jaiba,MG,498,-15.342217588363509,-43.672213725792204
luziania,GO,498,-16.214416851796145,-47.946142080621115
itapui,SP,497,-22.234624375395825,-48.722201765701406
primavera,SP,495,-21.59918604207209,-49.691998397555096
morada nova,CE,495,-5.091314914347553,-38.37192153737509
patos,PB,494,-7.031195565986073,-37.28334990211618
otacilio costa,SC,492,-27.499234788913128,-50.116131887973886
limoeiro,PE,492,-7.8770978925079795,-35.447931733340575
piraquara,PR,492,-25.447288227698692,-49.074160592617574
nazare paulista,SP,490,-23.173929129224923,-46.398498329349295
santa ines,MA,490,-3.6633889916444113,-45.37950788965818
neropolis,GO,490,-16.40595730347723,-49.22131992645262
catole do rocha,PB,490,-6.356076109211577,-37.71994948118462
lindoia,SP,490,-22.523149755822278,-46.64608142059492
casca,RS,490,-28.56544098248803,-51.97494147310212
bom jesus,GO,488,-18.216233193732982,-49.73852313818465
ouricuri,PE,488,-7.887669504225724,-40.083764629957216
antonina,PR,486,-25.43466401233266,-48.71297438008511
santo antonio do jacinto,MG,486,-16.534706128247294,-40.18436161872637
marmeleiro,PR,486,-26.149383654193766,-53.02945495529487
bom jardim de minas,MG,484,-21.94865946390439,-44.18564722690645
auriflama,SP,484,-20.684102669129654,-50.55493724664942
arraial d'ajuda,BA,483,-16.381853461534703,-39.30425300273051
ibotirama,BA,480,-12.176877695192086,-43.216045366767375
vitoria de santo antao,PE,480,-8.115801275175983,-35.292202838380376
mostardas,RS,480,-31.102887546527896,-50.912340788455566
morro do chapeu,BA,477,-11.547926214944225,-41.159161280257415
chapadao do ceu,GO,477,-18.396734962633023,-52.663182775194606
divinolandia,SP,476,-21.661378682175805,-46.73678336601149
goias,GO,476,-15.938762159530674,-50.14258152386386
mambore,PR,472,-24.31438808298877,-52.529397223568225
presidente getulio,SC,468,-27.050066109950635,-49.62533877720166
santa barbara d oeste,SP,467,-22.749991928062187,-47.40370621376799
rodeio,SC,464,-26.88983786768032,-49.351067910160765
tocantinopolis,TO,464,-6.326682740323772,-47.42883744378211
areado,MG,462,-21.35889195027171,-46.14454821775721
tupancireta,RS,462,-29.081042403863908,-53.83736896554222
entre rios,BA,462,-11.944426489289665,-38.08300377248851
confresa,MT,462,-10.645054403197715,-51.5709570837294
encantado,RS,462,-29.23413077408132,-51.87726772984192
sao jose do cedro,SC,456,-26.454670273139204,-53.50299627837526
cruz,CE,456,-2.9135178648813684,-40.18948768128991
cambuci,RJ,456,-21.57434606224571,-41.9115263333013
afogados da ingazeira,PE,456,-7.755593017854507,-37.590137523621614
sarandi,RS,455,-27.94044759709173,-52.92470274224441
santa maria madalena,RJ,455,-21.95927334678052,-42.00225077710551
valente,BA,450,-11.41107422446684,-39.46263618260986
capivari de baixo,SC,450,-28.44416522956648,-48.95660973919737
bataguassu,MS,450,-21.715614146716256,-52.42299954892613
conchas,SP,448,-23.019682800893975,-48.01232176637028
pau dos ferros,RN,448,-6.112960896830454,-38.206780647502875
ecoporanga,ES,448,-18.37023823035977,-40.82467452324385
lauro muller,SC,448,-28.389311725662147,-49.40567106503882
domingos martins,ES,441,-20.36202443550713,-40.68169578734027
inhapim,MG,441,-19.546042915615818,-42.11250279216962
cassilandia,MS,440,-19.113163572813953,-51.74092450092956
rio pardo,RS,440,-29.979827460307426,-52.37457955940092
ruy barbosa,BA,440,-12.284027281353508,-40.49716854080154
campo maior,PI,440,-4.830032666640971,-42.16973821159171
butia,RS,438,-30.119872339556245,-51.96273772879701
carlopolis,PR,438,-23.427680466957188,-49.718145711163125
guabiruba,SC,435,-27.08920803257553,-48.98036022920132
jacunda,PA,434,-4.450626103818663,-49.11553807242154
sao miguel do araguaia,GO,434,-13.261905309149466,-50.16257801564893
ico,CE,432,-6.4007106216224665,-38.85937134082056
dianopolis,TO,432,-11.628339466646455,-46.82150359445086
mamanguape,PB,430,-6.837271312193208,-35.127268944459026
moreno,PE,427,-8.117687852170764,-35.10906962079458
ipira,BA,427,-12.153728573965802,-39.740534694694155
bananal,SP,427,-22.68474949554884,-44.31889457982738
severinia,SP,426,-20.808718261265867,-48.807329437740485
goianira,GO,423,-16.513671144315378,-49.418602324293616
livramento de nossa senhora,BA,420,-13.652157490878377,-41.84866906635208
pedra azul,MG,420,-15.99526168300148,-41.27334039018543
entre rios de minas,MG,420,-20.670324298534858,-44.06634940030844
mucuri,BA,420,-18.071054387445592,-39.566524236071956
camacan,BA,420,-15.414473583741772,-39.49573091873063
bituruna,PR,415,-26.160122068949537,-51.54873601781561
lima duarte,MG,414,-21.841732443797156,-43.8035202900461
botelhos,MG,414,-21.64800458020063,-46.39818602714595
presidente olegario,MG,414,-18.411803602342445,-46.41690890292427
guaicara,SP,414,-21.622240014219567,-49.79572111333584
pirangi,SP,413,-21.095410745733822,-48.663854825197824
santo cristo,RS,413,-27.82578019897932,-54.665684584461374
bom conselho,PE,413,-9.176445417253401,-36.68004737812928
inhambupe,BA,413,-11.78823142132419,-38.35527969155361
gravata,PE,411,-8.20222487549064,-35.56378567298068
sao francisco de paula,RS,410,-29.44374562549852,-50.581226118020524
jacare,SP,410,-23.282169355175753,-46.30317942464221
seara,SC,410,-27.160814614543135,-52.31538959554689
sananduva,RS,408,-27.950113023805752,-51.80926196538294
sao carlos,SC,408,-27.08105154958041,-53.00580474855699
sao goncalo do rio abaixo,MG,405,-19.79618576330972,-43.4916317754069
itaberai,GO,402,-16.02290851734707,-49.80046962167269
nova santa rita,RS,402,-29.863767050746823,-51.26983217453261
xinguara,PA,402,-7.091211253820357,-49.927261559931516
jaru,RO,400,-10.437348342156913,-62.473941843936935
piranguinho,MG,396,-22.395484316889313,-45.54082435583615
barra da estiva,BA,396,-13.62722007037801,-41.32746747588223
bela vista de goias,GO,392,-16.970918667282035,-48.950755621245726
vera cruz,SP,392,-22.22233771303718,-49.82241039710561
caucaia,CE,392,-3.747987046371708,-38.64194956975016
brazopolis,MG,390,-22.479179200622745,-45.6169599096461
pacaembu,SP,390,-21.563145404402693,-51.2632631152253
tangua,RJ,390,-22.735288561838225,-42.72815308519808
bilac,SP,387,-21.402974377686462,-50.47485386319768
candeias,MG,387,-20.770727445018654,-45.274540606520134
paco do lumiar,MA,385,-2.5335984042550552,-44.16212373224168
tucano,BA,385,-10.97071628159781,-38.78932950771053
itau de minas,MG,385,-20.744272482905657,-46.751527276476295
sobradinho,BA,385,-9.470888488461352,-40.81242652036199
ronda alta,RS,385,-27.782290151758353,-52.80627761686821
araputanga,MT,384,-15.469617545229632,-58.347526914509444
igaracu do tiete,SP,384,-22.51623746513006,-48.56269830729325
torrinha,SP,384,-22.431600418313533,-48.16986032524441
marilandia,ES,384,-19.411967691731842,-40.542888660224
nova europa,SP,384,-21.78064185968705,-48.566057964121605
porteirinha,MG,380,-15.742739537220508,-43.02805712547085
santa cruz do capibaribe,PE,380,-7.9511957997564995,-36.2086071729503
arroio do sal,RS,378,-29.537405207090963,-49.88291629193329
reboucas,PR,378,-25.623419478746175,-50.69318753828021
primeiro de maio,PR,378,-22.853082471345168,-51.02627200366312
salto do lontra,PR,378,-25.78383079515026,-53.30848587190905
acreuna,GO,378,-17.398254213121064,-50.373036756783286
itaituba,PA,376,-4.264816847961378,-55.98643855133025
tiradentes,MG,376,-21.11012566489478,-44.17422924657657
itatinga,SP,376,-23.103098149218983,-48.614336051516226
presidente bernardes,SP,375,-22.009031098270302,-51.55629965272933
candelaria,RS,375,-29.670914684247638,-52.78897093141601
bom principio,RS,372,-29.47978868277756,-51.35818639381889
oeiras,PI,372,-7.01570227607675,-42.12587682228606
maracas,BA,372,-13.439421205859043,-40.433319458152084
capinopolis,MG,372,-18.68447699760866,-49.5725571179197
itacare,BA,371,-14.279705211738847,-38.99378895863365
guaracai,SP,371,-21.03348688190158,-51.207976323155215
missal,PR,371,-25.094095025384064,-54.24322585203301
mallet,PR,371,-25.883947859110776,-50.82647124533375
senges,PR,371,-24.113652700272713,-49.464387107906894
vila valerio,ES,370,-18.99637183987271,-40.38452590241119
conceicao da aparecida,MG,370,-21.096506571724447,-46.20470899521939
pitanga,PR,369,-24.75762438764076,-51.766579746014386
ivinhema,MS,368,-22.305739927063716,-53.824432099859045
ouro preto do oeste,RO,368,-10.718936860688173,-62.25654831712636
ortigueira,PR,368,-24.20691037919491,-50.93165104612473
aguas belas,PE,368,-9.10864643051146,-37.116827607179474
quarai,RS,368,-30.38307165448673,-56.45173393890246
rio branco do sul,PR,366,-25.18168856331617,-49.31639420976233
rio casca,MG,366,-20.22171500374876,-42.64916727226739
guarai,TO,366,-8.839458555761428,-48.50837935861723
borda da mata,MG,366,-22.262802188522702,-46.17073510012368
santa cecilia,SC,364,-26.96092027516422,-50.41874924289673
timbauba,PE,364,-7.511379854913326,-35.317200487587165
porto xavier,RS,364,-27.906766813291387,-55.13919970406806
caetanopolis,MG,360,-19.30409745887857,-44.4094422534488
nhandeara,SP,360,-20.693488565281623,-50.04261717535815
elias fausto,SP,360,-23.040367798130127,-47.371601184391935
jeremoabo,BA,360,-9.948403273356131,-38.686494350264184
anicuns,GO,360,-16.45960862487879,-49.96077526881697
capim grosso,BA,360,-11.380620672479836,-40.011465573691034
itapagipe,MG,360,-19.900800585847936,-49.36873038231208
capitao leonidas marques,PR,360,-25.48664058474843,-53.601034272079644
timon,MA,360,-5.102346940040801,-42.83438925162327
lajedo,PE,360,-8.661407364671868,-36.322752994920094
campinorte,GO,360,-14.312999984691519,-49.15365579404491
cambuquira,MG,360,-21.854638775990423,-45.29688395498059
novo progresso,PA,357,-7.054993475930453,-55.41298269820378
aquidauana,MS,357,-20.467551138473493,-55.7828172822082
ribeirao claro,PR,357,-23.19649917010603,-49.757811129866816
iacanga,SP,357,-21.89228769612551,-49.021775362325265
candeias,BA,356,-12.691066689461051,-38.56080238993106
sertanopolis,PR,355,-23.058947215839765,-51.03748208565939
sao joao evangelista,MG,355,-18.545122232818606,-42.76563067410195
cassia,MG,354,-20.582773597065916,-46.92218518019784
cedral,SP,354,-20.90442944300076,-49.26845148015719
rio pardo de minas,MG,354,-15.61800812759814,-42.54219196524457
aripuana,MT,352,-10.181130485627115,-59.455467831800995
cidade gaucha,PR,352,-23.3824499464137,-52.94080903541251
acopiara,CE,352,-6.093947222597158,-39.448126872055866
monte belo,MG,352,-21.325257521915603,-46.368037985681006
acarau,CE,351,-2.890590999042179,-40.10983231993736
cacu,GO,350,-18.56712347206818,-51.134559029781606
pedro de toledo,SP,350,-24.279519501813624,-47.23570825402996
medeiros neto,BA,350,-17.374893381956344,-40.22059862904517
euclides da cunha,BA,350,-10.50719153651757,-39.01134193659704
ceu azul,PR,350,-25.146850289928594,-53.8496268365524
pedro canario,ES,350,-18.291239807981757,-39.95966545058126
mandaguacu,PR,348,-23.344241430383388,-52.099316496237144
barbalha,CE,348,-7.310588231019298,-39.302673099971734
pedregulho,SP,348,-20.248722345093277,-47.47751011096898
rio largo,AL,348,-9.49920413278436,-35.83173540979755
sales oliveira,SP,348,-20.76778591841972,-47.84104393675437
tocantins,MG,348,-21.172824432762116,-43.02182436907186
vera cruz,RS,345,-29.716477554067794,-52.505981962766555
campo ere,SC,344,-26.39527201641889,-53.080096184929445
silvania,GO,343,-16.66324769812891,-48.61008125005215
nova alvorada do sul,MS,342,-21.459775723213408,-54.37214862272012
engenheiro paulo de frontin,RJ,342,-22.537601837432327,-43.66452240747124
taua,CE,342,-6.001302189916324,-40.29327870022658
general salgado,SP,342,-20.64719398696439,-50.36267844556282
ibira,SP,342,-21.08242274881478,-49.24010218018227
tapes,RS,342,-30.673810034855524,-51.39789855470783
barra do bugres,MT,340,-15.06978007970893,-57.1884147249202
sumidouro,RJ,340,-22.052334890390277,-42.67437699472732
chapadinha,MA,340,-3.740229730223432,-43.35926118023539
carmo da mata,MG,336,-20.559683797901453,-44.86920190758277
dionisio cerqueira,SC,336,-26.25917704640215,-53.6355194648393
sooretama,ES,336,-19.188864467370223,-40.10029934316759
trajano de moraes,RJ,336,-22.06558499870038,-42.07149865806281
campos gerais,MG,336,-21.237009192289822,-45.76002098329447
quixeramobim,CE,336,-5.1984937953839125,-39.29360435764802
alto araguaia,MT,335,-17.317502206191254,-53.223976775946205
crato,CE,331,-7.23362898755245,-39.41305849142182
ladario,MS,330,-19.009086976285705,-57.60407450566047
joanopolis,SP,330,-22.93096255760269,-46.2751460152927
santo estevao,BA,330,-12.433843587511102,-39.25367100698062
itapuranga,GO,329,-15.560778294974844,-49.94756067745026
paulo de faria,SP,329,-20.03227290488483,-49.40537144928939
morro da fumaca,SC,329,-28.65141776379577,-49.21107865772631
andrelandia,MG,325,-21.739642931038333,-44.30976445950926
itapemirim,ES,324,-20.94873376083929,-40.806594389881404
boa esperanca,ES,322,-18.53518561654825,-40.30194968701012
cajobi,SP,322,-20.87792303444621,-48.8108312624901
cameta,PA,316,-2.250128474268698,-49.49723264398959
ourilandia do norte,PA,315,-6.757426895108456,-51.07482497733091
santa albertina,SP,315,-20.030108989429078,-50.72856835389457
matupa,MT,315,-10.167426945713617,-54.92011957297365
taiuva,SP,315,-21.12449111602712,-48.44817125964009
delmiro gouveia,AL,312,-9.382637662719493,-38.00906892336496
sao domingos do prata,MG,310,-19.871121646472545,-42.96319489203388
capao do leao,RS,310,-31.767014564405127,-52.45948369077547
santa cruz cabralia,BA,310,-16.244629555195562,-39.02262804115204
surubim,PE,308,-7.842574489990516,-35.759952285651224
simonesia,MG,308,-20.116452545754196,-42.00244624099515
madre de deus,BA,308,-12.742075539787093,-38.614945656226304
cansancao,BA,308,-10.66998006320967,-39.49710576193575
pacaja,PA,306,-3.8307573821851735,-50.63209332020805
aguas vermelhas,MG,306,-15.657727860095669,-41.48047338651928
vera cruz,BA,306,-12.986771012973637,-38.64282657881783
cardoso,SP,306,-20.081577407785634,-49.91252514965633
mata verde,MG,304,-15.690736282848526,-40.73827011738193
balneario pinhal,RS,304,-30.245044113579628,-50.25786910765834
conceicao das alagoas,MG,303,-19.920926340183403,-48.37500192645633
fronteira,MG,301,-20.279404799268004,-49.201329764525894
santa fe,PR,300,-23.039509765797046,-51.810297331930926
bocaina,SP,300,-22.142219355054525,-48.528158434665315
senador canedo,GO,298,-16.691148512492667,-49.11632477073102
taquaritinga do norte,PE,297,-7.912919077321159,-36.06859868165274
joaquim tavora,PR,296,-23.500095961033555,-49.92207228643905
cosmorama,SP,296,-20.480205877584517,-49.77610512226492
remanso,BA,295,-9.62110358726405,-42.08142002625994
alfredo chaves,ES,294,-20.62951940460962,-40.748417453607516
rio novo do sul,ES,294,-20.862547934460142,-40.93472847864361
virginopolis,MG,294,-18.8105004830013,-42.70026603461051
pacajus,CE,294,-4.175677256628868,-38.46370798121669
teotonio vilela,AL,294,-9.911363279880257,-36.35649755327131
assai,PR,294,-23.37468515365581,-50.84590530283223
iepe,SP,294,-22.66053745323192,-51.0750002954447
carambei,PR,292,-24.947424285369436,-50.119053683402974
clevelandia,PR,290,-26.407394315957045,-52.35697276480334
cidreira,RS,290,-30.182219546520592,-50.2128862623974
itapaje,CE,288,-3.6872736028793804,-39.5832783760235
apiuna,SC,287,-27.038372773015535,-49.38803023762669
caarapo,MS,285,-22.632716841322644,-54.82390220273014
guarei,SP,285,-23.370444859030066,-48.182839347644155
monte alegre de minas,MG,285,-18.868437712768074,-48.878351490333216
caninde,CE,285,-4.3557783599740585,-39.31436115890772
cruzilia,MG,284,-21.83889966335762,-44.810404231373695
pinheiro,MA,284,-2.5237033286568624,-45.08581009592517
marechal floriano,ES,282,-20.41581361584733,-40.68892812472568
sao jose do ouro,RS,282,-27.854723994699967,-51.5754606585609
estiva gerbi,SP,280,-22.2748862278148,-46.95249166726991
bom sucesso,MG,280,-21.033055476899243,-44.756980710448026
campos altos,MG,280,-19.696900764248213,-46.1700770722563
cristina,MG,280,-22.210769226338826,-45.26406668085717
santa rita do araguaia,GO,280,-17.323659889250276,-53.19855491420887
uruara,PA,280,-3.71924853262984,-53.73936998774017
caxias,MA,279,-4.871155510848504,-43.352163892214044
altinopolis,SP,276,-21.021141075403367,-47.37731068557307
urania,SP,276,-20.246349911025895,-50.643459947363
dom eliseu,PA,276,-4.288843018315867,-47.5626268266854
nova hartz,RS,276,-29.587242152478435,-50.900705863175354
bernardino de campos,SP,276,-23.015406781344694,-49.477124428129386
minas novas,MG,275,-17.222956179657903,-42.58677161149821
palmitos,SC,275,-27.07141645875708,-53.16359004377649
ariranha,SP,275,-21.189753494151443,-48.78783784914368
abreu e lima,PE,274,-7.916900410780675,-34.92152024443381
ribeirao bonito,SP,273,-22.08243579658912,-48.222563344560626
cachoeira alta,GO,273,-18.75347309264925,-50.94690617312255
realeza,PR,272,-25.771368126697404,-53.53352665988766
santana,AP,272,-0.04461190360469944,-51.16729224698523
espigao do oeste,RO,270,-11.52528425026657,-61.01456425349062
macau,RN,270,-5.114513044362301,-36.63155513145021
panorama,SP,270,-21.361997990943387,-51.8565645716404
conceicao do rio verde,MG,270,-21.882744754401482,-45.08754587452989
ipora do oeste,SC,270,-26.987466561389148,-53.533282040940236
cascavel,CE,266,-4.132690721142567,-38.241739995723535
floresta,PE,266,-8.597101080249198,-38.56652837472492
passo de torres,SC,266,-29.314984934261716,-49.72083987859748
itapejara d'oeste,PR,266,-25.964884095402507,-52.821020397267944
pinheiro machado,RS,265,-31.578575031947068,-53.38185864077534
carmopolis de minas,MG,265,-20.539636931951886,-44.63638112481245
cabrobo,PE,264,-8.508697397497848,-39.309300152427944
mogi-mirim,SP,264,-22.420628126944074,-46.96783348419565
carai,MG,264,-17.187384231128462,-41.69734068618584
camamu,BA,264,-13.953358700008073,-39.116264052737584
cardoso moreira,RJ,264,-21.492958974260734,-41.61677340913089
novo gama,GO,261,-16.058777680491332,-48.037952140311404
